"","medoids.1","medoids.2","medoids.3","medoids.4"
"1",1.3392636608431,0.386760357967516,0.038025945237711,0.985695649560484
"2",0.337705433624167,1.02214673676164,0.0308173864614788,-0.563961200869731
"3",-1.03207273007231,-0.871756833032448,0.0341140152543387,-0.0666832563286917
"4",0.0333102861360607,-1.66320890472079,0.0747411303560028,0.957169627935649
"5",-2.26693510904341,-0.627499049918601,0.0490596799815204,-0.378418704539117
"6",-0.548204457989961,-1.64325125212088,0.0787126025439591,0.774448894825222
"7",0.806844908247413,-1.50809017460137,0.035578144018716,0.925559712081102
"8",-2.21746817002151,0.691654896709121,0.0378501993143849,-3.21456829130709
"9",-1.30755579365921,0.877788947264877,0.0411786347387218,-1.9964300705709
"10",0.54063553194957,0.40741220571568,0.0254988939075253,-0.200061681763731
"11",-0.0539714765845431,-0.960183374383943,0.0702496340278118,0.857714039027442
"12",0.0496756166461745,-0.792854868912923,0.0339301748289899,0.264064399807906
"13",-0.679127102070866,0.0563564370894429,0.017443745449164,-0.975661080536267
"14",0.798116731975351,0.615537039780478,0.0345031227280371,0.251728822889058
"15",0.132593291230749,-0.0730825674930172,0.0364977032558429,0.194676779639388
"16",-0.635486220710564,-1.42038713478961,-23.7748029473672,1.14143230816093
"17",1.34690081508115,0.78911879653418,0.0363443600572323,0.907056346702831
"18",0.977589856569594,1.05360165307022,0.0389906670346524,0.419801058408356
"19",-0.153254481679229,-0.00067380073643993,0.0594493780526369,0.561660192975102
"20",0.612642986194069,1.22242295285741,0.0388237536414745,-0.178474422155748
"21",-0.301633478304256,0.469402550300057,0.0238966824615859,-1.65565975818774
"22",1.36653921169328,1.33815206117423,0.0364616827218423,0.845378462108594
"23",-0.700947542751017,0.276641591970211,0.0113248018746102,-2.90772081545076
"24",-1.14390248855808,-1.05772237183718,0.065687739339383,0.651093125636747
"25",-0.37909604271879,0.491259623397959,0.0439853557003428,-0.402056753809859
"26",1.09051063708937,-0.0930054187530419,0.0381017954831346,0.734358269838967
"27",-0.0448723528209202,0.967351111286337,0.0325227551934887,-1.14373331605556
"28",0.571184148901782,0.0784149916287898,0.0238952302126936,-0.400514806695003
"29",-1.58249334622911,0.22276911782662,0.0404411541823857,-1.13525260692386
"30",-0.824233032593871,-1.48214852319053,0.0636055239235031,0.853088197682874
